co1_1,co1_2,co2a_1,co2a_2,co2a_3,co2b_1,co2b_2,co2b_3
wPLI,POW,0.263868065967017,0.369415292353823,0,-0.229166666666667,0.0520833333333334,0
wSMI,POW,0.420789605197401,0.519798924067378,0,-0.177083333333333,0.0729166666666666,0
POW+wPLI,POW,0.102948525737131,0.18015992003998,0,-0.0208333333333333,0.208333333333333,0
POW+wSMI,POW,0.0569715142428786,0.119640179910045,0,0,0.1875,0
wPLI+wSMI,POW,0.648675662168916,0.701049475262369,0,-0.09375,0.166666666666667,0
POW+wPLI+wSMI,POW,0.0129935032483758,0.0454772613693153,1,0.03125,0.239583333333333,1
wSMI,wPLI,0.667666166916542,0.701049475262369,0,-0.104166666666667,0.15625,0
POW+wPLI,wPLI,0.00299850074962519,0.0279860069965017,1,0.0729166666666665,0.28125,1
POW+wSMI,wPLI,0.0119940029985007,0.0454772613693153,1,0.0416666666666667,0.3125,1
wPLI+wSMI,wPLI,0.0289855072463768,0.0760869565217391,0,0.0208333333333333,0.229166666666667,1
POW+wPLI+wSMI,wPLI,0.00199900049975012,0.0279860069965017,1,0.114583333333333,0.333333333333333,1
POW+wPLI,wSMI,0.0239880059970015,0.0719640179910045,0,0.0208333333333334,0.28125,1
POW+wSMI,wSMI,0.0129935032483758,0.0454772613693153,1,0.0312500000000001,0.260416666666667,1
wPLI+wSMI,wSMI,0.0999500249875062,0.18015992003998,0,-0.0104166666666667,0.208333333333333,0
POW+wPLI+wSMI,wSMI,0.00399800099950025,0.0279860069965017,1,0.0729166666666667,0.322916666666667,1
POW+wSMI,POW+wPLI,1,1,0,-0.0937500000000001,0.104166666666667,0
wPLI+wSMI,POW+wPLI,0.24687656171914,0.369415292353823,0,-0.166666666666667,0.0520833333333333,0
POW+wPLI+wSMI,POW+wPLI,0.330834582708646,0.434220389805097,0,-0.03125,0.114583333333333,0
wPLI+wSMI,POW+wSMI,0.474762618690655,0.553889721805764,0,-0.166666666666667,0.0729166666666667,0
POW+wPLI+wSMI,POW+wSMI,0.231884057971014,0.369415292353823,0,-0.03125,0.145833333333333,0
POW+wPLI+wSMI,wPLI+wSMI,0.0329835082458771,0.0769615192403798,0,0.0104166666666667,0.1875,1
